tweet,label,clean_text,label_encoded
Leo nimepata kitambulisho changu cha taifa Asante sana,positive,leo nimepata kitambulisho changu cha taifa asante sana,2
Asante na tafadhali subiri tutawasiliana nawe kwa msaada zaidi Gift,positive,asante na tafadhali subiri tutawasiliana nawe kwa msaada zaidi gift,2
Takwimu zinaonyesha katika kila watoto 100 27 wanapata mimba kabla ya kufika miaka 18,neutral,takwimu zinaonyesha katika kila watoto wanapata mimba kabla ya kufika miaka,1
Kwa hiyo kama ilivyokuja kwenye aya hiyo ni juu yetu Sisi wanadamu kumuitikia Mola wetu Mlezi Mtukufu na mtume wake wanapotuita kupitia Quran na Sunnah kwenye mambo yatakayofanya maisha yetu ya hapa duniani na akhera yawe mazuri,neutral,kwa hiyo kama ilivyokuja kwenye aya hiyo ni juu yetu sisi wanadamu kumuitikia mola wetu mlezi mtukufu na mtume wake wanapotuita kupitia quran na sunnah kwenye mambo yatakayofanya maisha yetu ya hapa duniani na akhera yawe mazuri,1
Sio watu wazuri awa Nakutana nao FA Cup nawafahamu awa,negative,sio watu wazuri awa nakutana nao fa cup nawafahamu awa,0
Tanzania Hii Ukiwa Boyfriend Unakuwa Na Majukumu Makubwa Kuliko Hata Kuwa Baba Mzazi,neutral,tanzania hii ukiwa boyfriend unakuwa na majukumu makubwa kuliko hata kuwa baba mzazi,1
Kampuni ya imedhamiria kupanua shughuli zao zinazohusiana na Kwa kutoa elimu na kuh,neutral,kampuni ya imedhamiria kupanua shughuli zao zinazohusiana na kwa kutoa elimu na kuh,1
WordSema lowkey hii siku hizi ni kama Mbio za Vijiti between First and Last Born The moment Last Born ukimaliza Ch,neutral,wordsema lowkey hii siku hizi ni kama mbio za vijiti between first and last born the moment last born ukimaliza ch,1
Halafu anatagiwa atume 15k while hiyo ndio ilikuwa Budget yake ya Lunch Dinner na Bia 2 akalaleBoychild Tunateseka,negative,halafu anatagiwa atume k while hiyo ndio ilikuwa budget yake ya lunch dinner na bia akalaleboychild tunateseka,0
Maoni Huenda wahitimu wa sasa hawana maarifa yanayotakiwa katika soko la ajira,neutral,maoni huenda wahitimu wa sasa hawana maarifa yanayotakiwa katika soko la ajira,1
60 ZA CHEMA ALICHOLETA   Ulitangulia kuumbwa Ulimwengu mbingu na viijazavyo ikiwemo mwezi na jua uh,neutral,za chema alicholeta ulitangulia kuumbwa ulimwengu mbingu na viijazavyo ikiwemo mwezi na jua uh,1
Kuhusu simu kusababisha saratani cancer bado kuna mkanganyiko japo mpaka leo hakuna tafiti iliyothibitisha Simu hutoa,neutral,kuhusu simu kusababisha saratani cancer bado kuna mkanganyiko japo mpaka leo hakuna tafiti iliyothibitisha simu hutoa,1
